fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2017-03-01,LECO,0.6051142468304562,-0.006173211429909261,0.2829948403962241,0.07121832771347389,0.19311825565122914,0.03146894668091682,0.0,1.617796419953987,0.6660540942493186,1.2494590262989824,22.900740429238695
2017-04-01,LECO,0.4214421108127082,-0.0065046313708344156,0.3012342391590504,0.04314324911713151,0.11467760152010094,0.05723785773661105,0.0,1.5370922853736448,0.65718327222539,1.2435050457068875,21.446890965035895
2017-05-01,LECO,0.40072861926569603,-0.006357270945601658,0.30323068853203555,0.04866928303027189,0.13284736182826967,0.061394133713335686,0.0,1.498752517472701,0.6718077532816702,1.2444533183193451,21.491740588232446
2017-06-01,LECO,0.4093783276612813,-0.005864167004329529,0.2954545775904204,0.0720283266962206,0.19963676501904937,0.09357558484740536,0.0,1.490881405439928,0.6968359866520066,1.2492154886419555,22.608213595433227
2017-07-01,LECO,0.5862305219199392,-0.005176657541854272,0.28522060455326675,0.09732138213428802,0.29790846015923733,0.036218976368602496,0.0,1.5027412176096815,0.717163183799152,1.262543750602477,24.315648228465925
2017-08-01,LECO,0.7371498850511795,-0.0043772471102381996,0.27764479270401143,0.1143448609888014,0.36557671165143235,0.031231445196532537,0.0,1.5248185727140655,0.7269680293224974,1.2729398127173976,26.30287971515653
2017-09-01,LECO,0.7830788392543635,-0.003626635757612873,0.2776700124382907,0.11219247130859854,0.34708698630563495,0.08870680441752787,0.0,1.5489286711039318,0.7218999140511544,1.269334455069923,28.08521483613685
2017-10-01,LECO,0.720433854795632,-0.0030590292232315452,0.28712307631553385,0.08681263882940304,0.2685668387971546,0.08858805367533562,0.0,1.5687229119696884,0.7017029956026513,1.2450385279306169,29.16516056693227
2017-11-01,LECO,0.46535210380992154,-0.0026479808707279453,0.300952035920809,0.0506123757529712,0.15601060156648636,0.08229426433915221,0.0,1.581290200975862,0.675386509377462,1.20405684219641,28.98294969990187
2017-12-01,LECO,-0.12426464106566659,-0.002388966587926685,0.31048011944084203,0.02593267435463235,0.07937542982988462,0.08751929699560623,0.0,1.5808775348462603,0.6594274712430638,1.1633243588082178,26.90245002254622
2018-01-01,LECO,-0.5512011745874984,-0.0021944676729175813,0.3104647315635835,0.02713680153400675,0.07920825412491359,0.15865099156869733,0.0,1.5655893462682133,0.6650585720544167,1.1431998858825723,22.521578952911053
2018-02-01,LECO,-0.480662569970437,-0.0018777680522197688,0.30587960471284625,0.044977761528696696,0.1497001696720661,0.039543997149982246,0.0,1.54670732892596,0.6820148806286024,1.1490879935795106,17.24188215119302
2018-03-01,LECO,0.05788581005499157,-0.0013065926176197315,0.30447900341571227,0.06202277621875612,0.2035422505652657,0.06816292601828766,0.0,1.5375456829602558,0.6934387495456198,1.166198583138369,13.177309874629382
2018-04-01,LECO,0.5297400901082759,-0.0003733909840399734,0.31053946991408776,0.07200247048427372,0.25556965419744393,-0.015912599453746457,0.0,1.5435913306046298,0.6923779314410563,1.1703544346072434,11.2041911667958
2018-05-01,LECO,0.6754392580552353,0.00015938806336006795,0.31948003345417314,0.07432860062592705,0.24045121689282992,0.06400665004156281,0.0,1.5602227254903422,0.6838032410147946,1.1530610363708835,13.983756250496057
2018-06-01,LECO,0.6805905372615291,-0.00046958934348625156,0.3246258522408598,0.07298719247743528,0.23734834800600432,0.04215651347820937,0.0,1.5794492468532328,0.6774035771586526,1.1268674627168904,24.13181893800759
2018-07-01,LECO,0.6357131433832867,-0.002649373255094204,0.3205593423829118,0.07149011587151591,0.21572931379512755,0.11554447215295105,0.0,1.5923050782469315,0.6808430369602523,1.116662657306485,41.52372139757605
2018-08-01,LECO,0.5959399796272232,-0.005398940342959233,0.31149864835031765,0.07188565071788498,0.21615090608037163,0.11815698848117795,0.0,1.600610704535979,0.6887108638366102,1.1306361575783683,60.12107435174247
2018-09-01,LECO,0.5997813969630733,-0.006841686123573631,0.3046310512492535,0.07602266701729125,0.22997387532769298,0.10960693504334418,0.0,1.6077470071173916,0.691834493933656,1.151729994623069,69.99847681715713
2018-10-01,LECO,0.6598986159700023,-0.005620577079118367,0.30505605707307676,0.08431907735426016,0.2926395735328346,-0.03918774492340571,0.0,1.616980628691681,0.6849072643347826,1.1459558199224336,64.86354142335225
2018-11-01,LECO,0.7571491200018077,-0.002879067424878216,0.3105232681541761,0.0935077129264624,0.3023193556182825,0.020662629141432243,0.0,1.6302752597936085,0.674784365161822,1.0972592412337054,49.00002493329115
2018-12-01,LECO,0.8468102221788084,-0.0006385893494051709,0.3165457002117179,0.09783661862657618,0.3411821620690312,-0.06365039781498638,0.0,1.6474157045128843,0.6723171715144691,1.0218590957486213,30.785792840657383
2019-01-01,LECO,0.8836029349421551,-9.830229498862921e-05,0.3200271370337544,0.09393666284710639,0.2963145059213049,0.026481415508847084,0.0,1.6698118647953333,0.6845507223596948,0.9546808661931969,15.889126479944892
2019-02-01,LECO,0.8527476935525492,-0.0009022531469664333,0.321416668404823,0.08643171064026686,0.27126066715023056,0.0262439140244628,0.0,1.6964091227721212,0.7034243853049185,0.9149854828951404,7.873825709351045
2019-03-01,LECO,0.7821748750019695,-0.0020548648926333093,0.32238727630750313,0.08266785402439095,0.26675577782500154,-0.004037525234532602,0.0,1.7234258354391585,0.7149718282790418,0.8946085829996914,8.099657271631793
2019-04-01,LECO,0.7256413813722483,-0.0030573011728135,0.3242027261570397,0.08646296599840232,0.26807128469280916,0.03633772711079453,0.0,1.75612811438684,0.7130981698071172,0.8689191859316301,16.96091855844757
2019-05-01,LECO,0.7171973636108252,-0.0032531020588585685,0.3254820178163259,0.0943858669191457,0.33593966485768306,-0.09820686379289867,0.0,1.7906570655674392,0.7037282494574009,0.8263546154285734,29.444853068050243
2019-06-01,LECO,0.7468637796030726,-0.0021904536375429856,0.3245196052512328,0.10100016783719319,0.32969561608077524,-0.02244389027431426,0.0,1.8299868330539986,0.6965750221974708,0.7720974237767138,40.05304113069716
2019-07-01,LECO,0.7755852727156128,0.0002575647912489829,0.320324190121821,0.10138012123929555,0.31847002021472404,0.003681273007956287,0.0,1.8702629434655578,0.6985551331542021,0.7257803723482313,43.57440346852748
2019-08-01,LECO,0.7792280726725833,0.003088064844553548,0.3143917180614585,0.09652576715607525,0.3067285875355319,-0.019593872461702744,0.0,1.901259083630835,0.7072299750097534,0.6984792197135214,42.64382066412692
2019-09-01,LECO,0.7606315645983842,0.004451389810655146,0.30950168561215674,0.08913625381954525,0.269151005366164,0.030281439258995402,0.0,1.9034399279637457,0.7181925696626877,0.6922177597757339,41.469199658400605
2019-10-01,LECO,0.7413724137094334,0.003050506793307872,0.3077959672571555,0.08249328272451806,0.24448157080502617,0.06365039781498627,0.0,1.8730001038285158,0.7260766401697026,0.698887087790547,42.93363927713692
2019-11-01,LECO,0.7347199337255024,-0.00013654769563920452,0.30856904347816516,0.0782024671204038,0.22759090072061558,0.09559434746467188,0.0,1.8527748169540288,0.7226344072273205,0.7080489546786336,43.90944387073396
2019-12-01,LECO,0.7369587240812446,-0.003270374993039588,0.3105191309258173,0.0778760456236586,0.21348224688356074,0.14867592922455786,0.0,1.8970778760456237,0.6992071172986939,0.7074124107682316,39.70798898071625
2020-01-01,LECO,0.7295080531515984,-0.005340136553098768,0.31223653966452813,0.08196803025135183,0.23120469630018836,0.05901911886949307,0.0,2.0517314971548695,0.6557413583595584,0.6862617220479571,27.457792175945766
2020-02-01,LECO,0.7037257630494399,-0.006502466492954666,0.31100467153745565,0.08612559771931672,0.2454042773083253,-0.02755017218857614,0.0,2.2745790087748454,0.6184333465184705,0.6468332333557382,13.650383572132274
2020-03-01,LECO,0.6682485471239209,-0.0073348518713202875,0.30443254260809227,0.08328848768481029,0.26488803329383515,-0.1806198788742429,0.0,2.4553030041837616,0.6081774894551496,0.6069271342524666,7.2277504564219806
2020-04-01,LECO,0.6435628412003201,-0.008444460427900351,0.2903509372110402,0.06779951343314151,0.18009164734222502,-0.04393777461109116,0.0,2.5068631788818467,0.634157165050665,0.594029683611151,12.912992656190216
2020-05-01,LECO,0.6479877184504406,-0.009584517836828652,0.27580013139217147,0.04972555536990579,0.13042269733227185,-0.024225151407196166,0.0,2.4409985031323442,0.6828718568895898,0.621021243197715,24.907688056730166
2020-06-01,LECO,0.6878727049198808,-0.010299173729997104,0.2686296150272915,0.04094931543835911,0.10712351026457985,0.00035625222657653666,0.0,2.3343476110876837,0.7343410057846778,0.6767727890450793,34.77829218966756
2020-07-01,LECO,0.7340436414757177,-0.010007980503180134,0.2752778384785918,0.04920514431509632,0.12241531053652606,0.0733879586747419,0.0,2.254195726200622,0.7591486964985487,0.7269265360113125,35.4533780918816
2020-08-01,LECO,0.7603592185879823,-0.00874211883967502,0.2896951035085376,0.0669330513118615,0.1590523230724471,0.14843842774017335,0.0,2.1894013551953346,0.7585372425961706,0.74960444923928,31.374442496098677
2020-09-01,LECO,0.758336388715569,-0.006712633505160804,0.30164072227315547,0.08238509491776141,0.21172483543941595,0.09298183113644476,0.0,2.1227133448385165,0.7431413789514638,0.7474760261243931,29.840381218967643
2020-10-01,LECO,0.7518002145667313,-0.004286836982890055,0.30405166729467814,0.08746001824854012,0.21087709873681026,0.20912005700035619,0.0,2.046938092448005,0.7253628014912709,0.7457418195607403,35.41699631068874
2020-11-01,LECO,0.7530578277087846,-0.002590667885965879,0.3012468274384201,0.08574376449071897,0.19018001266295148,0.3656335352095952,0.0,1.9753020620854094,0.7079290532075642,0.7592381633566813,43.15626149946162
2020-12-01,LECO,0.7551309890743224,-0.003326635860212109,0.29976586260338833,0.08245330184436017,0.18567212904866323,0.3804773779836126,0.0,1.9311529246608579,0.6938915167740773,0.7839742834668958,45.04104409545447
2021-01-01,LECO,0.7453978255542623,-0.007099591728995749,0.30414353362348784,0.08139428134843402,0.18782817850222167,0.3596959980999883,0.0,1.921049741020849,0.6838954732172696,0.8041348636451325,36.262539495873746
2021-02-01,LECO,0.7230821640396092,-0.010227349467797032,0.3125436596271046,0.08458735597598745,0.1895724481093956,0.4025650160313503,0.0,1.9309826147226967,0.6784334652350239,0.807800680450519,23.039414430349957
