Ticker,Cluster
LECO,5
TEN,11
SCL,4
PAYX,12
URBN,7
SEIC,9
MA,2
AMH,1
MG,12
DD,12
CHE,1
IT,13
PFG,9
PDLB,9
NBHC,6
VLY,4
ISTR,7
VRTX,8
TFSL,9
TMHC,0
HON,11
UE,9
HALO,13
EPAC,6
OMF,9
WABC,5
CPS,4
SKT,7
OPK,7
HCSG,9
EXPE,12
NWL,9
MFA,11
ADUS,10
EPM,13
BDC,8
PRTA,4
GPC,10
TPC,12
OLP,12
VHC,10
MSEX,1
AWK,7
HXL,11
NEE,4
PB,13
IRT,13
JOE,9
FFIC,0
LBRDA,0
DFIN,1
GTLS,2
NNBR,9
CSGP,1
BUSE,13
OPBK,12
CMP,9
T,5
GHC,9
RYN,6
GLDD,12
TNET,0
ORGO,13
GOSS,12
CCI,5
APAM,10
ERII,10
UAL,1
OPRT,10
O,10
BDN,0
AROW,12
WSC,12
ARAY,5
RJF,0
AXTI,1
UNIT,3
EARN,4
WEYS,4
UNP,9
MLP,9
DHT,4
TRV,12
HAL,13
COP,0
BHB,2
BANC,0
WWW,9
BV,10
EQBK,6
NPO,11
PRA,2
AGYS,7
RS,8
NOV,12
VAC,1
PEBK,9
TIPT,7
COLM,6
CNO,2
BLK,11
UI,3
OKTA,8
CABO,10
HCKT,12
ACN,5
WPC,4
TECH,13
PCG,9
VFC,2
MU,5
REVG,4
ARR,10
HFFG,9
SWBI,13
VTOL,7
CMCT,13
ECL,9
ORA,13
STRA,13
ACA,2
PLAB,9
TMDX,9
DLR,12
JRVR,0
CTRE,2
OVLY,5
TEAM,13
GNW,13
DX,8
MTH,12
AMD,1
EXPO,12
RGA,13
IRDM,3
FNWB,12
AFG,2
JNJ,7
DVA,1
GPK,0
NVR,12
FNKO,6
MXL,9
XRAY,13
SSNC,5
WAB,8
ANET,13
HAS,0
WRAP,7
INSM,13
PEB,7
ULBI,10
BWA,8
EL,0
ANIP,7
BTU,2
NRC,0
TDY,10
DBI,6
GE,9
ACHC,12
ATO,6
WGO,1
CL,9
LMT,8
PCB,1
CFR,4
YUM,5
OZK,5
KLAC,10
AEE,2
GOOGL,0
