Ticker,Cluster
LECO,9
TEN,4
SCL,5
SEIC,10
MA,10
AMH,6
MG,4
DD,5
CHE,7
IT,0
PFG,1
PDLB,6
NBHC,6
CYCN,4
LEGH,10
SITM,6
VLY,6
ISTR,0
KRMD,3
VRTX,6
TFSL,0
TMHC,0
HON,6
UE,9
HALO,3
OMF,10
WABC,6
SKT,10
HCSG,6
EXPE,6
NWL,5
MFA,6
CRNC,8
ADUS,1
EPM,6
BDC,7
PRTA,4
GPC,3
OLP,5
VHC,7
MSEX,8
AWK,9
HXL,4
NEE,7
PB,7
IRT,9
JOE,6
FFIC,10
DFIN,1
GTLS,2
NNBR,10
CSGP,9
BUSE,6
CFFN,7
OPBK,6
CMP,5
T,6
GHC,6
RYN,3
TNET,6
ORGO,3
CCI,6
APAM,6
PRLD,10
CCB,4
ERII,6
O,5
TARA,10
BDN,1
AROW,3
WSC,2
RJF,0
UNIT,6
EARN,10
WEYS,3
UNP,4
MLP,3
DHT,3
TRV,10
HAL,7
COP,5
BHB,10
BANC,10
GDDY,5
WWW,6
BV,6
EQBK,4
NPO,4
PRA,1
AGYS,10
RS,7
NOV,5
VAC,2
PEBK,7
TIPT,6
COLM,10
CNO,10
BLK,0
UI,9
CABO,2
HCKT,9
WPC,9
TECH,6
SANM,10
PCG,3
RBC,9
VFC,9
AGNC,10
TXT,9
BCML,10
GWW,5
PGNY,4
HIW,6
REVG,6
ARR,5
FLO,9
HFFG,7
SHO,6
FNB,1
DGII,1
FBK,6
VTOL,10
CMCT,6
ECL,9
SMCI,6
ORA,6
STRA,7
ACA,10
ORIC,7
TMDX,7
DLR,7
JRVR,2
CTRE,6
OVLY,6
TEAM,7
GNW,9
DX,2
MTH,9
IMVT,5
EXPO,7
RGA,7
IRDM,1
FNWB,3
AFG,2
JNJ,7
DVA,10
GPK,7
NVR,7
FNKO,1
MXL,7
XPER,3
XRAY,6
SSNC,6
WAB,2
ANET,9
HAS,6
WRAP,10
INSM,2
PEB,2
BWA,1
EL,10
ANIP,10
BTU,10
NRC,10
TDY,8
KROS,6
GE,7
ACHC,3
ATO,7
CL,6
LMT,7
PCB,5
CFR,9
YUM,10
OZK,10
KLAC,4
AEE,3
GOOGL,10
